gndid,coords
4256724-5,51.0527805555556|13.7369388888889
4821086-9,48.2166944444444|16.3575
4222390-8,49.96|11.579722222222
4406254-0,44.4933822433274|11.3432846399505
4300889-6,51.340264|12.378564
4524140-5,51.1517|11.8097
7614989-4,60.173611111111|24.935
4279144-3,44.059952|12.570276
4216592-1,49.793378|9.932397
4224099-2,49.4509998942732|11.0787023979068
4416448-8,37.3857421596313|-5.9930955622969
7607736-6,51.23051165|11.2557004
4224926-0,39.857083333333|-4.0238888888889
4353411-9,48.2422|7.8755
4136982-8,51.8963|11.0487
4269790-6,52.8267|12.0789
4293003-0,50.9658|11.9053
4402265-7,41.8997130782974|12.4721548844951
4479364-9,48.2273805555556|16.3579888888889
4256673-3,40.765|-73.98
7605552-8,52.38111|4.63917
4755864-7,50.1495|7.43321
4310277-3,51.2071817|10.4587945905717
4676488-4,47.84648|16.51928
4237478-9,47.7097388888889|16.3316888888889
4236983-6,51.1308|9.27402
4631731-4,45.4342|12.34497
7524803-7,45.44117|12.34265
4226848-5,45.43878|12.3428
4221903-6,45.424991666667|12.332452777778
4485730-5,45.427752|12.344168
4078763-1,45.434444444444|12.339722222222
4114392-9,51.337778|12.380556
4439652-1,51.33196|12.36847
4079282-1,48.208427|16.373256
4097997-0,43.7730555555556|11.255
4748080-4,41.8978|12.4804
4132604-0,52.403257|13.038626
4245259-4,43.31758333|11.32869444
4104970-6,41.903055555556|12.454444444444
4224677-5,47.7977777777778|13.0469444444444
4368952-8,49.868022|8.652322
4842959-4,52.373889|4.891944
4051421-3,47.795|13.0473
4074362-7,50.64028|5.57167
4468631-6,51.339292|12.372586
4223844-4,43.84066|10.50587
7527117-5,37.5747222222222|126.993611111111
4745425-8,39.85805556|-4.0275
4223029-9,51.05349|13.73735
4277998-4,48.402222222222|2.7005555555556
4561441-6,50.7409|7.10492
4262062-4,47.61944|16.87167
4352131-9,54.411111111111|18.557777777778
4120970-9,47.556389|7.5925
4258855-8,50.111111111111|8.6808333333333
4214987-3,49.8539|8.35459
